gene_name,antibody_name,RNASeq_name,posRPPAaverage,negRPPAaverage,RNA_transform_pos,RNA_transform_neg
RAD50,Rad50,ENSG00000113522.9,-0.139202583,-0.131378818,4.250404727,4.051746136
RAD51,RAD51,ENSG00000051180.12,0.072557194,0.121415182,4.400370432,4.438073626
RBM15,RBM15,ENSG00000162775.10,-0.153267639,0.151547636,4.240444026,4.484122961
RPS6KA3,RSK1-2-3_Caution,ENSG00000177189.8,0.051567667,0.518431636,4.385505903,5.044806264
RPTOR,Raptor,ENSG00000141564.9,-0.029567278,-0.047511182,4.32804712,4.179915212
SCD,SCD1,ENSG00000099194.5,0.367703917,0.169857818,4.609389758,4.512105139
SERPINE1,PAI-1,ENSG00000106366.7,0.107526444,0.019597273,4.42513523,4.282472397
SETD2,SETD2_Caution,ENSG00000181555.15,-0.031871972,0.001670091,4.326414963,4.255075531
SMAD1,Smad1,ENSG00000170365.5,0.149038167,-0.018474818,4.454533328,4.224289468
SMAD3,Smad3,ENSG00000166949.11,-0.195685917,0.055425182,4.210403916,4.337225699
SMAD4,Smad4,ENSG00000141646.9,0.022626806,-0.138614,4.365010336,4.040689111
SNAI2,Snail_Caution,ENSG00000019549.4,0.110192639,0.523752273,4.427023397,5.052937423
SQSTM1,p62 Lck ligand_Caution,ENSG00000161011.15,-0.010488167,0.024455364,4.341558715,4.289896679
SRSF1,SF2,ENSG00000136450.8,-0.016265,-0.202813545,4.337467632,3.94257741
STAT5A,STAT5-alpha,ENSG00000126561.12,-0.140160083,0.181058545,4.249726638,4.529222431
STMN1,Stathmin,ENSG00000117632.16,-0.042806,0.024229818,4.318671618,4.289551994
SYK,Syk,ENSG00000165025.10,0.012069139,0.075897364,4.357533525,4.36851191
TFRC,TFRC,ENSG00000072274.8,-0.165898833,0.450967364,4.231498767,4.941705308
TGM2,Transglutaminase,ENSG00000198959.7,-0.048322194,0.052393545,4.314765116,4.332592659
TP53,p53_Caution,ENSG00000141510.11,0.127723278,0.593369,4.439438382,5.159327826
TP53BP1,53BP1,ENSG00000067369.9,-0.0961165,-0.140235909,4.280917769,4.03821046
TSC1,TSC1_Caution,ENSG00000165699.9,-0.202058444,0.021343364,4.20589097,4.285140826
TTF1,TTF1,ENSG00000125482.8,-0.135748889,0.288518273,4.252850592,4.693445659
TUBA1B,Acetyl-a-Tubulin (Lys40)_Caution,ENSG00000123416.11,0.092286944,0.009693182,4.414342801,4.267336663
VAV1,VAV1_Caution,ENSG00000141968.3,0.350523306,0.189483,4.597222657,4.542096939
VDAC1,Porin,ENSG00000213585.6,-0.274126278,-0.336773273,4.154853405,3.737856075
VHL,VHL_Caution,ENSG00000134086.7,1.944237889,1.129509091,5.72587198,5.978673442
WWTR1,TAZ,ENSG00000018408.10,-0.163079333,0.103296091,4.233495503,4.41038348
XBP1,XBP1_Caution,ENSG00000100219.12,-0.052600167,-0.164178455,4.311735508,4.001620733
XRCC1,XRCC1_Caution,ENSG00000073050.7,0.044843667,-0.069879636,4.380744048,4.145731059
XRCC5,Ku80_Caution,ENSG00000079246.11,-0.25542075,-0.207980636,4.168100433,3.934680905
YWHAB,14-3-3_beta,ENSG00000166913.8,0.046762639,0.012882,4.38210304,4.272209912
YWHAE,14-3-3_epsilon_Caution,ENSG00000108953.12,-0.008354833,-0.113966273,4.343069516,4.078356519
YWHAZ,14-3-3_zeta,ENSG00000164924.13,0.114488556,0.256410545,4.430065713,4.644377653
